designator,component_identity,supplier,lcsc,footprint,side,x_mm,y_mm,rotation_deg,bbox_xmin_mm,bbox_ymin_mm,bbox_xmax_mm,bbox_ymax_mm,pad_count,domain
AUD-ADC1,TLV320ADC6120IRTER,TLV320ADC6120IRTER.1,,WQFN-20_L3.0-W3.0-P0.50-TL-EP1.4,top,139.75,19.0918,90.0,138.1735,17.5167,141.3265,20.6669,21,audio
AUD-FPC1,KH-FG1.0-H2.0-6PIN,KH-FG1.0-H2.0-6PIN.1,,FPC-SMD_KH-FG1.0-H2.0-6PIN,top,137.21,35.45,180.0,131.51,33.4,142.91,37.5,8,audio
AUD-JACK1,PJ-327F-J,PJ-327F-J.1,,AUDIO-SMD_PJ-327F-J,top,138.6401,7.3082,180.0,133.7901,2.5083,143.4901,12.1081,5,audio
AUD-MIC1,IM69D130V01XTSA1_C42464166,IM69D130V01XTSA1_C42464166.1,,MIC-SMD_5P-L4.0-W3.0-P0.70-TR_IM69D130V01,bottom,130.1164,18.4548,90.0,128.3713,17.3798,131.4865,19.5298,8,audio
C-AUD-AREG1,CL21A106KAYNNNE_C15850,CL21A106KAYNNNE.1,,C0805,top,136.08,23.32,90.0,135.405,21.615,136.755,25.025,2,audio
C-AUD-AREG2,CL05B104KO5NNNC,CL05B104KO5NNNC.1,,C0402,top,136.08,20.54,180.0,135.4099,20.27,136.7501,20.81,2,audio
C-AUD-DEC1,CL05B104KO5NNNC,CL05B104KO5NNNC.1,,C0402,top,143.54,21.18,90.0,143.27,20.5099,143.81,21.8501,2,audio
C-AUD-DEC2,CL05B104KO5NNNC,CL05B104KO5NNNC.1,,C0402,top,142.34,21.19,90.0,142.07,20.5199,142.61,21.8601,2,audio
C-AUD-DEC3,CL05B104KO5NNNC,CL05B104KO5NNNC.1,,C0402,top,143.54,19.23,270.0,143.27,18.5599,143.81,19.9001,2,audio
C-AUD-DREG1,CL21A106KAYNNNE_C15850,CL21A106KAYNNNE.1,,C0805,top,138.18,23.32,90.0,137.505,21.615,138.855,25.025,2,audio
C-AUD-DREG2,CL05B104KO5NNNC,CL05B104KO5NNNC.1,,C0402,top,139.83,22.25,90.0,139.56,21.5799,140.1,22.9201,2,audio
