name,pad_count_explicit,component_count_explicit,via_count,track_count,sch_wire_labels,xmin_mm,ymin_mm,xmax_mm,ymax_mm,span_x_mm,span_y_mm,electrical_class,routing_state,power_signal_ground,in_pcb_net_table
,0,0,0,0,0,,,,,,,gpio,empty,signal,True
$1N2406,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N2407,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N2408,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N2409,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N2410,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3499,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3504,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3523,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3525,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3527,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3528,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3529,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3530,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3531,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3532,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3533,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3534,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3535,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3536,0,0,0,0,0,,,,,,,unnamed_auto,named_only,signal,True
$1N3583,2,2,0,0,0,165.3599,28.66,166.36,37.52,1.0001,8.86,ws2812_data,named_only,signal,True
$1N3585,2,2,0,0,0,165.56,17.7,166.42,27.86,0.86,10.16,ws2812_data,named_only,signal,True
+3V3,111,91,14,9,114,15.7,1.44,166.7728,34.15,151.0728,32.71,low_current_power,has_copper,power,True
+5V_BENCH_IN,3,3,3,4,4,16.07,30.8287,21.3551,35.65,5.2851,4.8213,high_current_power,has_copper,power,True
+5V_LED,8,8,7,11,8,31.17,4.81,114.7472,37.15,83.5772,32.34,high_current_power,has_copper,power,True
+5V_LED_N,11,8,3,13,11,113.7649,28.4701,127.6601,34.4801,13.8952,6.01,high_current_power,has_copper,power,True
+5V_LED_S,11,8,3,14,11,111.8851,5.8,129.212,11.72,17.3269,5.92,high_current_power,has_copper,power,True
+5V_SYS,20,20,4,15,20,16.9201,16.9999,166.16,37.5201,149.2399,20.5202,high_current_power,has_copper,power,True
3V3_PG,4,4,1,1,4,24.44,5.9901,45.3101,21.1504,20.8701,15.1603,gpio,has_copper,signal,True
ADS_ALERT,3,3,1,0,2,47.56,23.32,62.835,25.285,15.275,1.965,gpio,has_copper,signal,True
ADS_DECAP,2,2,1,0,2,46.8099,21.0701,46.81,21.073,0.0001,0.0029,local_rt_power,has_copper,power,True
AUDIO_ADC_SCL,3,3,1,0,3,102.7901,17.2199,139.4984,20.5419,36.7083,3.322,audio_clock_data,has_copper,signal,True
AUDIO_ADC_SDA,3,3,1,0,3,101.99,17.2199,139.9985,20.5419,38.0085,3.322,audio_clock_data,has_copper,signal,True
AUX_L_N,2,2,0,2,2,138.0372,14.7704,139.4984,17.642,1.4612,2.8716,analogue_audio,has_copper,signal,True
AUX_L_P,2,2,0,1,2,137.1428,16.35,138.9985,17.6417,1.8557,1.2917,analogue_audio,has_copper,signal,True
AUX_RING,3,3,0,3,3,142.115,8.9083,144.57,12.68,2.455,3.7717,analogue_audio,has_copper,signal,True
AUX_RING_SW,3,3,1,1,3,109.1899,6.7082,135.1652,15.62,25.9753,8.9118,analogue_audio,has_copper,signal,True
AUX_R_N,2,2,0,1,2,140.4984,16.36,142.5372,17.642,2.0388,1.282,analogue_audio,has_copper,signal,True
AUX_R_P,2,2,0,2,2,139.9985,13.5456,143.14,17.642,3.1415,4.0964,analogue_audio,has_copper,signal,True
AUX_TIP,3,3,0,3,3,136.2772,3.4083,142.1402,16.35,5.863,12.9417,analogue_audio,has_copper,signal,True
AUX_TIP_SW,3,3,1,1,3,105.1899,11.2081,135.1652,14.8201,29.9753,3.612,analogue_audio,has_copper,signal,True
B1,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
B10,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
B11,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
B12,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
B2,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
B3,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
B8,0,0,0,0,0,,,,,,,gpio,named_only,signal,True
BENCH_DVDT,2,2,1,0,2,22.5049,29.9288,22.8399,30.0824,0.335,0.1536,gpio,has_copper,signal,True
BENCH_ILM,2,2,1,0,2,22.495,31.05,22.8172,31.15,0.3222,0.1,gpio,has_copper,signal,True
BENCH_ITMR,2,2,1,1,2,22.5049,31.7286,22.7699,32.33,0.265,0.6014,gpio,has_copper,signal,True
