kind,id,net,layer,width_mil,x_mm,y_mm,x2_mm,y2_mm,hole_mm,land_mm,inverted,via_in_pad
LINE,1f62d7b5ec93a8e8,USB_EFUSE_OVLO,L6_Bottom,10,14.3172,23.76,14.3172,22.54,,,,
LINE,693efca05c63fd13,USB_EFUSE_UVLO,L6_Bottom,10,15.1828,23.76,16.6928,23.76,,,,
LINE,2a3771589e54c0e4,USB_EFUSE_UVLO,L6_Bottom,10,16.6928,23.76,16.7,23.7672,,,,
LINE,3275d8c0191d9ece,USB_EFUSE_PGTH,L6_Bottom,10,16.6628,21.38,16.6628,20.1844,,,,
LINE,15bc925a5f6c5b16,USB_EFUSE_PGTH,L6_Bottom,10,16.6628,20.1844,16.6772,20.17,,,,
LINE,1f4b0aa47d719e7d,+5V_SYS,L6_Bottom,10,17.8149,21.8226,17.5428,21.5505,,,,
LINE,203ced37e013c713,+5V_SYS,L6_Bottom,10,17.5428,21.5505,17.5428,20.17,,,,
LINE,f79752ff8a427711,VBUS_J1,L1_Top,10,17.305,22.61,17.3199,22.6249,,,,
LINE,cf0d57f34d3ff734,VBUS_J1,L1_Top,10,17.3199,22.6249,17.3199,25.11,,,,
LINE,82251c57639ac8eb,VBUS_J1,L1_Top,10,17.305,22.61,17.305,23.551,,,,
LINE,659e964c1dc4a713,VBUS_J1,L1_Top,10,16.646,24.21,14.89,24.21,,,,
LINE,0ed608cf4790429f,+5V_SYS,L1_Top,10,18.38,20.21,19.86,20.21,,,,
LINE,0b69faa18814724d,+5V_SYS,L1_Top,10,17.55,20.33,16.9401,20.33,,,,
LINE,9230dc480304a558,+5V_SYS,L1_Top,10,17.8049,20.7851,17.8049,20.5849,,,,
LINE,3a4e1ab9faab6e41,TUSB_OUT2,L1_Top,10,17.05,16.1999,18.017,16.1999,,,,
LINE,1dabb05450598883,TUSB_CLASS_OUT1_N,L1_Top,10,17.05,15.8001,17.7671,15.8001,,,,
LINE,dcbdeca10182d816,TUSB_VBUS_DET,L1_Top,10,16.1001,15.25,16.1001,14.2829,,,,
LINE,508e3c96730b420d,TUSB_OUT3,L1_Top,10,17.05,15.0999,17.05,13.8828,,,,
LINE,95991b67a73ead56,VBUS_J1,L1_Top,10,15.7,13.0172,15.46,13.0172,,,,
LINE,f520828fa3aebf5b,VBUS_J1,L1_Top,10,13.84,14.6372,13.84,17.19,,,,
LINE,0464c185a7899298,VBUS_J1,L1_Top,10,12.28,18.7499,11.8601,18.7499,,,,
LINE,0827e8ae990af94b,CC1,L6_Bottom,10,14.84,16.26,15.3,16.26,,,,
LINE,e009ef5ad9c69f9d,CC1,L6_Bottom,10,13.22,19.689,13.22,17.88,,,,
LINE,2a9f1852bc965df5,CC2,L6_Bottom,10,12.6501,14.7459,12.0501,14.7459,,,,
LINE,8f17cd714787f63e,CC2,L6_Bottom,10,11.9704,14.75,10.04,14.75,,,,
LINE,97ae9241c47819f6,CC2,L6_Bottom,10,8.82,15.97,8.82,18.02,,,,
LINE,1df2a40e26d4506a,CC2,L6_Bottom,10,15.3,15.73,15.3,15.35,,,,
LINE,f902dca27931ff85,CC2,L6_Bottom,10,14.7,14.75,12.7298,14.75,,,,
LINE,76b03cb24fd7a3fa,BENCH_PRESENT,L1_Top,10,20.6848,30.6037,19.0187,30.6037,,,,
LINE,4e3094606bb6e922,+5V_BENCH_IN,L1_Top,10,19.425,35.65,17.93,35.65,,,,
LINE,cddc1a17ccb77a68,+5V_SYS,L1_Top,10,21.8549,33.0301,21.8549,30.8287,,,,
LINE,10b1175aa5f9afd5,BENCH_PGTH,L6_Bottom,10,19.5728,29.97,20.8272,29.97,,,,
LINE,3f2c9f32c06d4602,BENCH_UVLO,L6_Bottom,10,20.4672,31.67,20.4672,32.99,,,,
LINE,2925c6fb031b66a7,BENCH_OVLO,L6_Bottom,10,21.3328,32.99,21.3328,34.31,,,,
LINE,bfc4297a935e1dab,BENCH_ITMR,L1_Top,10,22.5049,32.065,22.5049,31.7286,,,,
LINE,5ac976bd64176d7b,+5V_BENCH_IN,L6_Bottom,10,21.3539,30.98,21.3539,31.6689,,,,
LINE,c467c4ff0f558a87,+5V_SYS,L1_Top,10,21.425,33.46,23.97,33.46,,,,
LINE,d5a4cb38a52aab4d,INA_VINP,L1_Top,10,30.17,33.64,30.17,33.34,,,,
LINE,d16e71fe1c18c48f,+5V_LED,L1_Top,10,31.17,33.14,31.17,33.68,,,,
LINE,bdf779bf69084d8a,+5V_LED,L1_Top,10,31.9,34.41,33.0999,34.41,,,,
LINE,4f4f43cde46d564f,TPS62913_NRSS,L6_Bottom,10,33.95,22.3998,34.3996,22.3998,,,,
LINE,c6ba83017d30ff00,TPS62913_FB,L6_Bottom,10,33.2628,22.44,33.2628,23.5996,,,,
LINE,3020b2c682832df4,TPS62913_FB,L6_Bottom,10,33.2628,23.6596,33.2628,24.8673,,,,
LINE,2d28c66759aba617,TPS62913_EN,L1_Top,10,31.7828,23.48,31.7828,22.6924,,,,
LINE,6a7de83cbcda9a5d,TPS62913_SCONF,L1_Top,10,31.7728,24.72,32.0928,24.72,,,,
LINE,c42d59f4848220d4,TPS62913_SCONF,L1_Top,10,32.9499,23.8629,32.9499,22.3498,,,,
LINE,169da0c2b81608c9,SW_3V3,L1_Top,10,33.0,21.1504,32.0099,21.1504,,,,
LINE,e47e2f61bd7e620f,SW_3V3,L1_Top,10,29.4699,18.6104,29.4699,18.47,,,,
LINE,b1e6878cf1a4b1bf,+3V3,L1_Top,10,31.95,19.05,31.95,16.84,,,,
LINE,64c02c8aaa5b8f4d,+3V3,L1_Top,10,31.95,19.05,31.95,20.0452,,,,
LINE,db6db96b74d45b82,+3V3,L1_Top,10,32.555,20.6503,32.825,20.6503,,,,
LINE,ce1486fc15b20d35,+3V3,L1_Top,10,26.2701,21.5601,26.2701,18.03,,,,
LINE,2dd53b619111182c,+5V_SYS,L1_Top,10,34.4,21.6502,38.1997,21.6502,,,,
LINE,e2376244b804cd9c,S3_IO0,L1_Top,10,56.8028,25.07,57.3995,24.4733,,,,
LINE,3748b80b0be55a75,S3_IO0,L1_Top,10,56.8028,25.07,59.836,28.1032,,,,
LINE,008743dcecb4811d,S3_IO0,L1_Top,10,60.58,29.8993,60.58,37.6999,,,,
LINE,162915cd9bb8fc75,USB2422_XTALIN,L1_Top,10,80.07,28.6599,81.2396,28.6599,,,,
LINE,1df75b7301dab93f,USB2422_XTALOUT,L1_Top,10,84.6201,32.27,84.6201,31.8089,,,,
LINE,9902c11add8fd745,USB2422_XTALOUT,L1_Top,10,81.9899,24.52,81.9899,25.4553,,,,
LINE,0be80b32202be158,USB2422_XTALOUT,L1_Top,10,82.5502,26.5017,82.2922,26.2437,,,,
LINE,0eb0c6f906b05c82,USB2422_XTALOUT,L1_Top,10,84.1401,30.65,83.2244,29.7344,,,,
LINE,d671231d60a06dad,USB2422_XTALOUT,L1_Top,10,83.03,27.49,83.03,29.265,,,,
LINE,0caea840447de9bd,USB2422_XTALIN,L1_Top,10,81.4901,24.52,81.4901,25.559,,,,
LINE,c8003ac88255d5f3,USB2422_XTALIN,L1_Top,10,81.15,26.38,80.5421,26.9879,,,,
LINE,cfd656e9b256d95e,USB2422_XTALIN,L1_Top,10,80.33,27.5,80.33,28.0322,,,,
LINE,4efd7f4de76ec07d,+5V_LED_S,L1_Top,10,126.91,11.4772,128.0782,11.4772,,,,
LINE,f6b0b43b66aa3906,+5V_LED_S,L1_Top,10,128.12,11.4599,129.212,11.4599,,,,
LINE,b5a4599bc3fe8495,S_DATA_B,L1_Top,10,118.6901,12.27,119.9728,12.27,,,,
LINE,4c3fee08e8b8a31d,+5V_LED_S,L1_Top,10,118.4999,5.8,118.4999,7.9999,,,,
LINE,fbf04854cbf714dc,+5V_LED_S,L1_Top,10,119.47,11.1499,119.47,9.16,,,,
LINE,234082d98cec221e,+5V_LED_S,L1_Top,10,119.47,8.97,119.47,9.16,,,,
LINE,9d543736c8a73cfe,+5V_LED_S,L1_Top,10,120.4999,5.8,120.4999,8.1301,,,,
LINE,c361ae72ce0ed365,S_DATA_B_T,L1_Top,10,121.11,9.1,121.11,10.2672,,,,
LINE,b1e1632c1958c2f5,S_DATA_B_T,L1_Top,10,122.4999,5.8,122.4999,7.7101,,,,
LINE,5b176e04579fe76c,S_DATA_A_T,L1_Top,10,123.6428,5.9429,123.6428,10.08,,,,
LINE,6fad0a21105335d8,+5V_LED_S,L1_Top,10,125.4999,7.9433,125.4999,5.8,,,,
LINE,cc9dd432fb716e4d,+5V_LED_S,L1_Top,10,127.4999,5.8,127.4999,8.374,,,,
LINE,448029bfc58a6317,S_OE,L1_Top,10,126.21,12.3428,126.21,12.6928,,,,
LINE,7cffb58540f8eafe,S_OE,L1_Top,10,125.2827,13.6201,124.69,13.6201,,,,
LINE,766c29b41cf3f9f5,N_DATA_A,L1_Top,10,121.7272,30.57,121.7272,29.8229,,,,
LINE,cae7ea0af4e0c45d,N_DATA_B,L1_Top,10,123.67,27.5172,126.6271,27.5172,,,,
LINE,31c86abb25ee071f,N_OE,L1_Top,10,119.6073,26.9699,120.48,26.9699,,,,
LINE,75369b3d6e259fba,+5V_LED_N,L1_Top,10,116.79,28.77,118.6672,28.77,,,,
LINE,c64ab31445049f09,MIC_PRESENT,L1_Top,10,138.7472,32.17,138.7472,34.113,,,,
LINE,2a650ee21abb00fe,+3V3,L1_Top,10,139.7101,32.2673,139.7101,34.15,,,,
LINE,3d0d50c224e97397,TLV_AREG,L1_Top,10,136.5001,21.8999,136.5001,20.54,,,,
LINE,fdf4ee7644c83048,TLV_AREG,L1_Top,10,136.99,20.54,136.5001,20.54,,,,
LINE,685b3c49328cd023,TLV_AREG,L1_Top,10,138.2985,19.342,137.818,19.342,,,,
LINE,a2b5116e267807c5,TLV_AREG,L1_Top,10,137.36,19.8,137.36,20.17,,,,
LINE,14369ba547e4a1bb,TLV_VREF,L1_Top,10,136.9282,18.8419,138.2985,18.8419,,,,
LINE,62606d461f8d5449,TLV_DREG,L1_Top,10,138.6701,21.8299,139.83,21.8299,,,,
LINE,55bbabd87a943688,TLV_DREG,L1_Top,10,138.9985,20.5419,138.9985,21.0385,,,,
LINE,a7def4e3536bd600,TLV_DREG,L1_Top,10,139.32,21.36,139.3601,21.36,,,,
LINE,bb52f42f21454431,PDMCLK_SRC,L1_Top,10,140.4984,21.2756,140.4984,20.5419,,,,
LINE,295e022a226dee80,PDMDIN,L1_Top,10,138.2985,18.3418,135.7682,18.3418,,,,
LINE,e4de4d9bb47c5eb8,PDMDIN,L1_Top,10,137.7101,34.15,137.7101,32.8201,,,,
LINE,99da76917d3df25b,PDMDIN,L1_Top,10,133.9295,29.0395,133.9295,20.0026,,,,
LINE,d78d7ce9b3e2ed1b,PDMCLK,L1_Top,10,141.06,22.7028,141.06,33.83,,,,
LINE,b470d5e1629a2fcf,PDMCLK,L1_Top,10,138.73,36.16,137.6398,36.16,,,,
LINE,17c896b00f7fc9b2,INA_VINN,L1_Top,10,30.6701,33.14,30.6701,33.9867,,,,
LINE,09659c78584e4e6e,INA_VINN,L1_Top,10,33.9,37.75,33.47,37.75,,,,
LINE,d967e19e0bc28824,INA_VINN,L1_Top,10,32.68,36.96,32.68,36.332,,,,
LINE,9d2039a7eeb151f6,+5V_LED,L1_Top,10,34.195,35.915,34.695,35.915,,,,
LINE,1253e3dd3b27df8c,+5V_SYS,L1_Top,10,27.675,37.165,28.185,37.165,,,,
LINE,78d4b347a6dcfc40,3V3_PG,L1_Top,10,36.02,19.7054,36.02,18.4628,,,,
LINE,5289972654491d7e,TUSB_ID,L1_Top,10,18.0499,17.9,18.3672,17.9,,,,
LINE,88e590ae56d33e1e,AUX_TIP,L1_Top,10,142.1402,3.4083,137.934,7.6145,,,,
LINE,5966d22bb4f72788,AUX_TIP,L1_Top,10,137.35,9.0243,137.35,13.3041,,,,
LINE,2fe8678e3c85e76d,+5V_LED_S,L1_Top,10,124.72,10.9773,124.72,8.812,,,,
LINE,90d819385d59875c,+5V_LED_S,L1_Top,10,124.72,10.9773,124.72,11.4199,,,,
LINE,628547099b35c1ca,S_DATA_A,L1_Top,10,122.7772,10.08,122.7772,11.3889,,,,
LINE,d9b411be498ab145,AUX_L_P,L1_Top,10,137.1428,16.35,137.7068,16.35,,,,
LINE,fa20a4ba1f8b1a62,AUX_TIP,L1_Top,10,136.2772,16.35,136.2772,15.8941,,,,
LINE,b824de15d10e89ae,AUX_L_N,L1_Top,10,138.9514,16.3214,138.38,15.75,,,,
LINE,1c3a7ea274bd3428,AUX_L_N,L1_Top,10,138.0372,14.9224,138.0372,14.7704,,,,
LINE,e0a3ed8938fa62b5,AUX_R_N,L1_Top,10,141.7804,16.36,142.5372,16.36,,,,
LINE,f9688bfae6aec6e9,AUX_R_P,L1_Top,10,139.9985,17.642,139.9985,17.2311,,,,
LINE,b0fca3e7b0bcaa13,ENC1_SW,L1_Top,10,146.3426,5.6889,147.325,4.7065,,,,
LINE,8a832af3c56e515c,ENC1_A,L1_Top,10,153.7059,5.9064,153.375,5.9064,,,,
LINE,3c49be60cd2b3206,ENC1_B,L1_Top,10,153.7184,3.5067,153.375,3.5067,,,,
LINE,22da605f2745ee4c,ENC2_B,L1_Top,10,158.2041,5.9064,158.5302,5.9064,,,,
LINE,64ccac40b7e92795,ENC2_A,L1_Top,10,158.2116,3.5067,158.5302,3.5067,,,,
LINE,ebfeb2c133a976b8,ENC2_SW,L1_Top,10,164.5802,4.7065,165.0762,5.2025,,,,
