designator,class,action,side,x_175,y_175,x_160,y_160,dx,dy,xmin_160,xmax_160,ymin_160,ymax_160,why
AUD-ADC1,MACRO,MACRO_DX,top,139.75,19.0918,124.75,19.0918,-15.0,0.0,123.1735,126.3265,17.5167,20.6669,
AUD-FPC1,MACRO,MACRO_DX,top,137.21,35.45,122.21,35.45,-15.0,0.0,116.51,127.91,33.4,37.5,
AUD-JACK1,MACRO,MACRO_DX,top,138.6401,7.3082,123.6401,7.3082,-15.0,0.0,118.7901,128.4901,2.5083,12.1081,
AUD-MIC1,MACRO,MACRO_DX,bottom,130.1164,18.4548,115.1164,18.4548,-15.0,0.0,113.3713,116.4865,17.3798,19.5298,
C-AUD-AREG1,MACRO,MACRO_DX,top,136.08,23.32,121.08,23.32,-15.0,0.0,120.405,121.755,21.615,25.025,
C-AUD-AREG2,MACRO,MACRO_DX,top,136.08,20.54,121.08,20.54,-15.0,0.0,120.4099,121.7501,20.27,20.81,
C-AUD-DEC1,MACRO,MACRO_DX,top,143.54,21.18,128.54,21.18,-15.0,0.0,128.27,128.81,20.5099,21.8501,
C-AUD-DEC2,MACRO,MACRO_DX,top,142.34,21.19,127.34,21.19,-15.0,0.0,127.07,127.61,20.5199,21.8601,
C-AUD-DEC3,MACRO,MACRO_DX,top,143.54,19.23,128.54,19.23,-15.0,0.0,128.27,128.81,18.5599,19.9001,
C-AUD-DREG1,MACRO,MACRO_DX,top,138.18,23.32,123.18,23.32,-15.0,0.0,122.505,123.855,21.615,25.025,
C-AUD-DREG2,MACRO,MACRO_DX,top,139.83,22.25,124.83,22.25,-15.0,0.0,124.56,125.1,21.5799,22.9201,
C-AUD-VRF1,MACRO,MACRO_DX,top,136.07,19.28,121.07,19.28,-15.0,0.0,120.3999,121.7401,19.01,19.55,
C-LEDN-BLK1,MACRO,MACRO_DX,top,116.79,27.77,101.79,27.77,-15.0,0.0,101.115,102.465,26.065,29.475,
C-LEDN-BLK2,MACRO,MACRO_DX,top,120.16,30.57,105.16,30.57,-15.0,0.0,104.4899,105.8301,30.3,30.84,
C-LEDN-DVDT1,MACRO,MACRO_DX,bottom,115.01,33.18,100.01,33.18,-15.0,0.0,99.3399,100.6801,32.91,33.45,
C-LEDN-ITMR1,MACRO,MACRO_DX,bottom,114.79,35.04,99.79,35.04,-15.0,0.0,99.1199,100.4601,34.77,35.31,
C-LEDS-BLK1,MACRO,MACRO_DX,top,129.14,10.72,114.14,10.72,-15.0,0.0,113.465,114.815,9.015,12.425,
C-LEDS-BLK2,MACRO,MACRO_DX,top,127.45,11.88,112.45,11.88,-15.0,0.0,112.18,112.72,11.2099,12.5501,
C-LEDS-DVDT1,MACRO,MACRO_DX,bottom,110.92,8.26,95.92,8.26,-15.0,0.0,95.2499,96.5901,7.99,8.53,
C-LEDS-ITMR1,MACRO,MACRO_DX,bottom,110.98,6.37,95.98,6.37,-15.0,0.0,95.3099,96.6501,6.1,6.64,
C-PWR-BLK1,WEST_FIXED,STAY,top,20.25,21.6,20.25,21.6,0.0,0.0,19.575,20.925,19.895,23.305,
C-PWR-BLK2,WEST_FIXED,STAY,top,24.97,33.46,24.97,33.46,0.0,0.0,23.265,26.675,32.785,34.135,
C-PWR-BLK3,WEST_FIXED,STAY,top,16.5,20.35,16.5,20.35,0.0,0.0,15.8299,17.1701,20.08,20.62,
C-PWR-BLK4,WEST_FIXED,STAY,top,20.425,33.46,20.425,33.46,0.0,0.0,18.72,22.13,32.785,34.135,
C-PWR-BLK5,WEST_FIXED,STAY,top,20.425,35.65,20.425,35.65,0.0,0.0,18.72,22.13,34.975,36.325,
C-PWR-BLK6,WEST_FIXED,STAY,top,38.22,20.63,38.22,20.63,0.0,0.0,37.545,38.895,18.925,22.335,
C-PWR-BLK7,WEST_FIXED,STAY,top,38.05,33.56,38.05,33.56,0.0,0.0,36.345,39.755,32.885,34.235,
C-PWR-BLK8,WEST_FIXED,STAY,top,34.03,33.9,34.03,33.9,0.0,0.0,33.3599,34.7001,33.63,34.17,
C-PWR-DEC1,MACRO,MACRO_DX,bottom,113.38,28.41,98.38,28.41,-15.0,0.0,98.11,98.65,27.7399,29.0801,
C-PWR-DEC2,MACRO,MACRO_DX,bottom,111.04,3.09,96.04,3.09,-15.0,0.0,95.3699,96.7101,2.82,3.36,
C-PWR-DEC3,WEST_FIXED,STAY,top,20.26,1.44,20.26,1.44,0.0,0.0,19.5899,20.9301,1.17,1.71,
